default_code,name,categ_id,list_price,standard_price,type,x_puff_count,x_flavor,x_volume,x_nicotine_level,x_pack_size
DLOMYP400505,Lost Mary OS5000 4% Disposable-10-Pack-Triple Berry Duo Ice-4%,Disposables,98.99,80.0,goods,0,Triple Berry Duo Ice,,4%,10
DLMMOP400501,Lost Mary MO5000 4% Disposable-5-Pack-Black Mint-4%,Disposables,49.95,40.5,goods,0,Black Mint,,4%,5
DLMMOP400501,Lost Mary MO5000 4% Disposable-5-Pack-Black Mint-4%,Disposables,49.95,40.5,goods,0,Black Mint,,4%,5
DLMMOP400501,Lost Mary MO5000 4% Disposable-5-Pack-Black Mint-4%,Disposables,49.95,40.5,goods,0,Black Mint,,4%,5
DLMMOP400502,Lost Mary MO5000 4% Disposable-5-Pack-Blue Trio-4%,Disposables,49.95,40.5,goods,0,Blue Trio,,4%,5
DLMMOP400502,Lost Mary MO5000 4% Disposable-5-Pack-Blue Trio-4%,Disposables,49.95,40.5,goods,0,Blue Trio,,4%,5
DLMMOP400502,Lost Mary MO5000 4% Disposable-5-Pack-Blue Trio-4%,Disposables,49.95,40.5,goods,0,Blue Trio,,4%,5
DLMMOP400503,Lost Mary MO5000 4% Disposable-5-Pack-Blueberry Raspberry Lemon-4%,Disposables,49.95,40.5,goods,0,Blueberry Raspberry Lemon,,4%,5
DLMMOP400503,Lost Mary MO5000 4% Disposable-5-Pack-Blueberry Raspberry Lemon-4%,Disposables,49.95,40.5,goods,0,Blueberry Raspberry Lemon,,4%,5
DLMMOP400503,Lost Mary MO5000 4% Disposable-5-Pack-Blueberry Raspberry Lemon-4%,Disposables,49.95,40.5,goods,0,Blueberry Raspberry Lemon,,4%,5
DLMMOP400504,Lost Mary MO5000 4% Disposable-5-Pack-Cherry Lemon-4%,Disposables,49.95,40.5,goods,0,Cherry Lemon,,4%,5
DLMMOP400504,Lost Mary MO5000 4% Disposable-5-Pack-Cherry Lemon-4%,Disposables,49.95,40.5,goods,0,Cherry Lemon,,4%,5
DLMMOP400504,Lost Mary MO5000 4% Disposable-5-Pack-Cherry Lemon-4%,Disposables,49.95,40.5,goods,0,Cherry Lemon,,4%,5
DLMMOP400505,Lost Mary MO5000 4% Disposable-5-Pack-Grape Jelly-4%,Disposables,49.95,40.0,goods,0,Grape Jelly,,4%,5
DLMMOP400505,Lost Mary MO5000 4% Disposable-5-Pack-Grape Jelly-4%,Disposables,49.95,40.0,goods,0,Grape Jelly,,4%,5
DLMMOP400505,Lost Mary MO5000 4% Disposable-5-Pack-Grape Jelly-4%,Disposables,49.95,40.0,goods,0,Grape Jelly,,4%,5
DLMMOP400506,Lost Mary MO5000 4% Disposable-5-Pack-Mango Peach-4%,Disposables,49.95,40.5,goods,0,Mango Peach,,4%,5
DLMMOP400506,Lost Mary MO5000 4% Disposable-5-Pack-Mango Peach-4%,Disposables,49.95,40.5,goods,0,Mango Peach,,4%,5
DLMMOP400506,Lost Mary MO5000 4% Disposable-5-Pack-Mango Peach-4%,Disposables,49.95,40.5,goods,0,Mango Peach,,4%,5
DLMMOP400507,Lost Mary MO5000 4% Disposable-5-Pack-Mango Peach Watermelon-4%,Disposables,49.95,40.5,goods,0,Mango Peach Watermelon,,4%,5
DLMMOP400507,Lost Mary MO5000 4% Disposable-5-Pack-Mango Peach Watermelon-4%,Disposables,49.95,40.5,goods,0,Mango Peach Watermelon,,4%,5
DLMMOP400507,Lost Mary MO5000 4% Disposable-5-Pack-Mango Peach Watermelon-4%,Disposables,49.95,40.5,goods,0,Mango Peach Watermelon,,4%,5
DLMMOP400508,Lost Mary MO5000 4% Disposable-5-Pack-Pineapple Apple Pear-4%,Disposables,49.95,40.5,goods,0,Pineapple Apple Pear,,4%,5
DLMMOP400508,Lost Mary MO5000 4% Disposable-5-Pack-Pineapple Apple Pear-4%,Disposables,49.95,40.5,goods,0,Pineapple Apple Pear,,4%,5
DLMMOP400508,Lost Mary MO5000 4% Disposable-5-Pack-Pineapple Apple Pear-4%,Disposables,49.95,40.5,goods,0,Pineapple Apple Pear,,4%,5
DLMMOP400509,Lost Mary MO5000 4% Disposable-5-Pack-Watermelon Cherry-4%,Disposables,49.95,40.5,goods,0,Watermelon Cherry,,4%,5
DLMMOP400509,Lost Mary MO5000 4% Disposable-5-Pack-Watermelon Cherry-4%,Disposables,49.95,40.5,goods,0,Watermelon Cherry,,4%,5
DLMMOP400509,Lost Mary MO5000 4% Disposable-5-Pack-Watermelon Cherry-4%,Disposables,49.95,40.5,goods,0,Watermelon Cherry,,4%,5
DLMMOP400510,Lost Mary MO5000 4% Disposable-5-Pack-Watermelon-4%,Disposables,49.95,40.5,goods,0,Watermelon,,4%,5
DLMMOP400510,Lost Mary MO5000 4% Disposable-5-Pack-Watermelon-4%,Disposables,49.95,40.5,goods,0,Watermelon,,4%,5
DLMMOP400510,Lost Mary MO5000 4% Disposable-5-Pack-Watermelon-4%,Disposables,49.95,40.5,goods,0,Watermelon,,4%,5
DLMMOP400511,Lost Mary MO5000 4% Disposable-5-Pack-Yummy-4%,Disposables,49.95,40.5,goods,0,Yummy,,4%,5
DLMMOP400511,Lost Mary MO5000 4% Disposable-5-Pack-Yummy-4%,Disposables,49.95,40.5,goods,0,Yummy,,4%,5
DLMMOP400511,Lost Mary MO5000 4% Disposable-5-Pack-Yummy-4%,Disposables,49.95,40.5,goods,0,Yummy,,4%,5
DLMMOP400512,Lost Mary MO5000 4% Disposable-5-Pack-Kiwi Fuse-4%,Disposables,49.95,40.5,goods,0,Kiwi Fuse,,4%,5
DLMMOP400512,Lost Mary MO5000 4% Disposable-5-Pack-Kiwi Fuse-4%,Disposables,49.95,40.5,goods,0,Kiwi Fuse,,4%,5
DLMMOP400512,Lost Mary MO5000 4% Disposable-5-Pack-Kiwi Fuse-4%,Disposables,49.95,40.5,goods,0,Kiwi Fuse,,4%,5
