SKU,Name,Price,Cost,Quantity,UPC,Weight,Volume,Nicotine_Level,Flavor,Unit_Per_Pack,Location_1,Qty_1
DABLXP500016,"Air Bar Lux Disposable 10-Pack - 50mg - Grape Ice",49.97,42.50,0,,,,,,,Z,0
DLURGP500002,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Banana Ice",57.38,42.50,0,,,,,,,Z,0
DLURGP500009,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Honey Dew Ice",57.38,42.50,0,,,,,,,Z,0
DLURGP500014,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Strawberry Watermelon",57.38,44.00,0,,,,,,,Z,0
PVPXRP000002,"Vaporesso Xros Replacement Pods 2-Pack - 1.2ohm",3.99,3.04,0,,,,,,,Z,0
XTRTW-BI,"Xtra Twist Disposable 10 Pack - 5% - Banana Ice Cream",74.25,55.00,0,,,,,,,Z,0
XTRTW-CM,"Xtra Twist Disposable 10 Pack - 5% - Cool Mint",74.25,55.00,0,,,,,,,Z,0
XTRTW-GI,"Xtra Twist Disposable 10 Pack - 5% - Grape Ice",74.25,55.00,0,,,,,,,Z,0
XTRTW-GUI,"Xtra Twist Disposable 10 Pack - 5% - Guava Ice",74.25,55.00,0,,,,,,,Z,0
XTRTW-GY,"Xtra Twist Disposable 10 Pack - 5% - Gummy",74.25,55.00,0,,,,,,,Z,0
XTRTW-HI,"Xtra Twist Disposable 10 Pack - 5% - Honeydew Ice",74.25,55.00,0,,,,,,,Z,0
XTRTW-LI,"Xtra Twist Disposable 10 Pack - 5% - Lush Ice",74.25,55.00,0,,,,,,,Z,0
DABLXP500005,"Air Bar Lux Disposable 10-Pack - 50mg - Blueberry Ice",49.97,42.50,0,,,,,,,Z,0
DABLXP500022,"Air Bar Lux Disposable 10-Pack - 50mg - Pineapple Ice",49.97,42.50,0,,,,,,,Z,0
COIL49,"Geek Vape Cerberus 5.5ml Replacement Bubble Glass",1.35,0.75,0,,,,,,,Z,0
DLFLOP500005,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Filipino Mango",69.00,47.50,0,,,,,,,Z,0
DPFPLP500012,"Puff Plus Disposable Vape - Pack of 10 - Coco Melon",77.63,60.00,0,,,,,,,Z,0
BSAMSP000001,"Imren 3000mAh Gold 18650 35A Battery 2 Pack",11.99,9.00,0,,,,,,,Z,0
PSMN3P000001,"SMOK Novo 3 Replacement Pods 3-Pack",5.27,4.42,0,,,,,,,Z,0
DABDMP500018,"Air Bar Diamond Disposable 10-Pack - 5% - Watermelon Ice",45.00,30.00,0,,,,,,,Z,0
